Sex,Diet,Bodyweight
M,hf,27.81
M,hf,29.45
M,hf,35.11
M,hf,31.25
M,hf,38.26
M,hf,29.06
M,hf,42.8
M,hf,32.34
M,hf,35.48
M,hf,33.05
M,hf,37.06
M,hf,29.71
M,hf,34.4
M,hf,39.42
M,hf,36.32
M,hf,41.48
M,hf,46.27
M,hf,37.48
M,hf,36.34
M,hf,26.7
M,hf,36.77
M,hf,41.83
M,hf,37.89
M,chow,45.23
M,chow,23.73
M,chow,34.03
M,chow,24.98
M,chow,28.56
M,chow,29.32
M,chow,39.16
M,chow,32.04
M,chow,32.09
M,chow,24.16
M,chow,27.38
M,chow,30.29
M,chow,36.79
M,chow,28.63
M,chow,31.01
M,chow,32.11
M,chow,31.22
M,chow,32.05
M,chow,24.58
M,chow,35.15
M,chow,30.71
M,chow,32.81
M,chow,33.96
M,chow,29.34
M,chow,31.56
M,chow,35.51
M,chow,36.2
M,chow,36.64
M,chow,25.14
M,chow,32.1
M,chow,28.74
M,chow,31.55
M,chow,28.88
M,chow,36.21
M,chow,33.39
M,chow,33.83
M,chow,34.11
M,chow,29.38
M,chow,31.71
M,chow,31.95
M,chow,31.77
M,chow,33
M,chow,31.64
M,chow,37.5
M,chow,23.66
M,chow,33.92
M,chow,31.63
M,chow,25.65
M,chow,39.98
M,chow,25.63
M,hf,26.69
M,hf,41.71
M,hf,28.45
M,hf,35.85
M,hf,38.74
M,hf,35.54
M,hf,38.62
M,hf,32.09
M,hf,29.88
M,hf,29.76
M,hf,41.25
M,hf,27.64
M,hf,35.62
M,hf,40.02
M,hf,36.63
M,hf,42.89
M,hf,28.5
M,hf,34.59
M,hf,40.81
M,hf,36.58
M,hf,34.47
M,hf,38.29
M,hf,22.61
M,hf,34.09
M,chow,28.19
M,chow,33.89
M,chow,29.87
M,chow,29.72
M,chow,26.64
M,chow,39.85
M,chow,33
M,chow,36.63
M,chow,31.37
M,chow,33.46
M,chow,29.99
M,chow,24.19
M,chow,29.31
M,chow,31.83
M,chow,28.8
M,chow,32.24
M,chow,29.89
M,chow,36.53
M,chow,24
M,chow,37.98
M,chow,25.24
M,chow,31.48
M,chow,29.21
M,chow,25.91
M,chow,29.09
M,hf,33.29
M,hf,29.93
M,hf,33.55
M,hf,30.58
M,hf,35.63
M,hf,26.86
M,hf,30.53
M,hf,36.95
M,hf,36.78
M,hf,29.51
M,hf,40.25
M,hf,31.28
M,hf,40.47
M,hf,37.65
M,hf,32.5
M,hf,48.93
M,hf,23.57
M,hf,36.75
M,hf,36.43
M,hf,32.95
M,hf,31.86
M,hf,32.66
M,hf,41.26
M,hf,41.34
M,hf,29.26
M,hf,35.27
M,chow,27.27
M,chow,25.66
M,chow,32.06
M,chow,33.11
M,chow,25.73
M,chow,32.76
M,chow,30.81
M,chow,33.14
M,chow,29.2
M,chow,27.65
M,chow,26.92
M,chow,27.29
M,chow,27.66
M,chow,28.81
M,chow,26.01
M,chow,28.78
M,chow,29.76
M,chow,29.91
M,chow,29.87
M,chow,25.65
M,chow,25.67
M,chow,36.25
M,chow,27.93
M,chow,32.5
M,chow,27.36
M,hf,36.74
M,hf,47.44
M,hf,39.2
M,hf,37.58
M,hf,39.78
M,hf,48.14
M,hf,26.45
M,hf,49.18
M,hf,34.83
M,hf,39.08
M,hf,47.1
M,hf,27.16
M,hf,32.94
M,hf,31.06
M,hf,54.08
M,hf,31.82
M,hf,35.22
M,hf,40.09
M,hf,36.36
M,hf,24.77
M,hf,40.36
M,hf,35.18
M,hf,29.62
M,hf,37.13
M,hf,38.34
M,chow,31.18
M,chow,30.32
M,chow,27.79
M,chow,32.35
M,chow,27.64
M,chow,34.62
M,chow,39.38
M,chow,30.93
M,chow,32.81
M,chow,30.83
M,chow,39.22
M,chow,34.48
M,chow,34.53
M,chow,32.11
M,chow,36.27
M,chow,30.02
M,chow,28.54
M,chow,33.52
M,chow,33.43
M,chow,36.85
M,chow,24.67
M,chow,33.4
M,chow,31.29
M,chow,23.63
M,hf,32.72
M,hf,28.57
M,hf,42.09
M,hf,33.18
M,hf,28.56
M,hf,30.72
M,hf,24.34
M,hf,34.54
M,hf,33.34
M,hf,29.39
M,hf,43.24
M,hf,31.15
M,hf,32.6
M,hf,33.8
M,hf,29.79
M,hf,24.07
M,hf,34.02
M,hf,31.01
M,hf,35.73
M,hf,39.83
M,hf,31.27
M,hf,33.54
M,chow,27.8
M,chow,23.1
M,chow,27.26
M,chow,32.23
M,chow,28.17
M,chow,32.23
M,chow,29.59
M,chow,26.33
M,chow,31.84
M,chow,26.26
M,chow,21.23
M,chow,30.29
M,chow,25.41
M,chow,33.55
M,chow,26.69
M,chow,26.04
M,chow,22.42
M,chow,28.22
M,chow,32.91
M,chow,32.65
M,chow,26.94
M,chow,27.79
M,chow,33.63
M,chow,21.67
M,chow,32.89
M,hf,30.76
M,hf,37.31
M,hf,33.31
M,hf,29.1
M,hf,33.78
M,hf,33.67
M,hf,39.66
M,hf,38.23
M,hf,36.53
M,hf,37.13
M,hf,33.43
M,hf,29.05
M,hf,33.03
M,hf,36.73
M,hf,43.7
M,hf,23.52
M,hf,39.84
M,hf,33.15
M,hf,37.12
M,hf,36.13
M,hf,30.92
M,hf,23.69
M,hf,33.19
M,hf,36.82
M,hf,31.97
M,chow,29.08
M,chow,33.17
M,chow,40.28
M,chow,32.73
M,chow,31.66
M,chow,29.57
M,chow,27.29
M,chow,35.17
M,chow,30.36
M,chow,37.13
M,chow,36.44
M,chow,29.88
M,chow,27.77
M,chow,42.31
M,chow,20.72
M,chow,29.65
M,chow,26.55
M,chow,34.35
M,chow,32.98
M,chow,35.35
M,chow,32.1
M,chow,23
M,chow,40.7
M,chow,28.95
M,chow,28.39
M,chow,35.13
M,chow,29.16
M,chow,32.69
M,chow,26.42
M,chow,31.77
M,chow,27.01
M,chow,30.58
M,chow,25.76
M,chow,38.37
M,chow,37.51
M,chow,35.03
M,chow,32.47
M,chow,29.85
M,chow,36.2
M,chow,28.18
M,chow,36.1
M,chow,40.45
M,chow,30.55
M,chow,22.96
M,chow,28.61
M,chow,32.2
M,chow,33.21
M,chow,46.71
M,chow,30.53
M,hf,30.13
M,hf,36.58
M,hf,36.23
M,hf,41.03
M,hf,32.94
M,hf,34.98
M,hf,41.46
M,hf,35.19
M,hf,25.42
M,hf,40.78
M,hf,34.81
M,hf,29.92
M,hf,38.9
M,hf,32.78
M,hf,41.94
M,hf,34.01
M,hf,42.95
M,hf,30.48
M,hf,40.26
M,hf,40.28
M,hf,27.57
M,hf,41.98
M,hf,39.73
M,hf,45.79
M,hf,38.02
M,chow,30.8
M,chow,35.83
M,chow,25.99
M,chow,36.58
M,chow,31.8
M,chow,28.71
M,chow,37.02
M,chow,32.51
M,chow,26.65
M,chow,32.15
M,chow,33.83
M,chow,27.07
M,chow,28.38
M,chow,41.7
M,chow,30.87
M,chow,29.21
M,chow,34.74
M,chow,30.06
M,chow,33.53
M,chow,30.86
M,chow,27.9
M,chow,31.57
M,chow,26.09
M,chow,23.14
M,chow,31.28
M,hf,30.81
M,hf,36.21
M,hf,39.21
M,hf,37.99
M,hf,39.69
M,hf,36.98
M,hf,24.52
M,hf,38.53
M,hf,33.83
M,hf,30.04
M,hf,27.03
M,hf,34.89
M,hf,32.07
M,hf,22.48
M,hf,30.93
M,hf,29.69
M,hf,34.52
M,hf,30.85
M,hf,36.43
M,hf,24.09
M,hf,32.18
M,hf,34.14
M,hf,41.82
